Quiz Q1 — Mountain Car DQN
name: run07_g0.98_lr0.0005_ee0.05_b32_s10_h256_sh10
gamma: 0.98
lr: 0.0005
epsilon_end: 0.05
eps_start: 1.0
shaping_scale: 10.0
updates_per_step: 4
warmup_steps: 15000
buffer_size: 100000
batch_size: 32
sync_interval: 10
hidden1: 256
hidden2: 256
episodes: 1500
seed: 0

max_total_reward: -84.0
max_reward_episode: 1438
mean_last_50: -123.64
min_total_reward: -200.0
mean_all: -177.39466666666667
std_all: 32.766714384502386
success_count: 628
success_rate_pct: 41.86666666666667
